is_app_event,visitor_id,id,visit_id,tracking_time,created_at,story_id,user_id
False,4fb37693-b8a0-4876-b8cd-ac87de8a9350,cf8eb564-dbea-4dcf-b1ae-464a56b5261c,88cc663d-2b96-40b1-b6cb-53bc8732636a,2015-12-24T23:36:15.045000,2015-12-24T23:36:15.045000,42821,45042
False,8531dcee-d53a-481f-9c1e-0b03d128ccbc,9434d14e-8b4e-45c4-8652-1e15137923a8,ce0f1a74-c619-4797-af7c-302bc353e7df,2016-01-26T19:41:48.120194,2016-01-26T19:41:48.120194,11208,45042
False,56c82995-5e14-48a3-ab04-ced6e9cb222f,01e8260f-35a4-4bfe-ad5c-d3326e62f876,6d1e9b1e-aa3e-4ae0-8824-3532805d974e,2016-01-22T21:50:23.484018,2016-01-22T21:50:23.484018,57735,45042
False,56c82995-5e14-48a3-ab04-ced6e9cb222f,0388378e-5fb0-487e-80d9-22a941e62908,6d1e9b1e-aa3e-4ae0-8824-3532805d974e,2016-01-22T21:03:04.727079,2016-01-22T21:03:04.727079,57735,45042
False,9bb1830e-000f-4def-8472-9fa2993ac1a9,04066cb0-15bc-49bc-87ed-17d16ecfd98c,2b8d0495-ff48-4e3d-85f8-d5e7220c0282,2016-01-13T21:41:02.246000,2016-01-13T21:41:02.246000,57764,45042
False,56c82995-5e14-48a3-ab04-ced6e9cb222f,04533ebf-1f7b-480a-8693-7921179b4484,6d1e9b1e-aa3e-4ae0-8824-3532805d974e,2016-01-22T21:22:10.385840,2016-01-22T21:22:10.385840,57735,45042
False,2a7cec9b-aa29-49f1-815f-b545f3f09284,0581cfac-51c5-4a59-8d57-ee319deae97e,5a1d2899-1224-461d-bbdf-cb9bab768632,2016-01-24T19:02:08.801000,2016-01-24T19:02:08.801000,47920,45042
False,b5e8653d-5b3b-4456-8956-5ae8bc53bca9,05b1a37e-6348-4422-9b93-bcf3327239c2,9a1d42b1-b484-49bc-bfe7-f8b21058b809,2016-01-31T15:42:00.747147,2016-01-31T15:42:00.747147,31771,45042
False,56c82995-5e14-48a3-ab04-ced6e9cb222f,05de41c2-3fb9-4b99-9263-48696956d176,6d1e9b1e-aa3e-4ae0-8824-3532805d974e,2016-01-22T19:17:06.867928,2016-01-22T19:17:06.867928,18832,45042
False,cb387519-84b4-4e73-b69d-636abd41fd98,05fb58a2-cfce-4faa-80cb-f2189ade46eb,534816f3-9c9b-410b-840f-3edca9bef977,2016-01-30T12:28:26.049000,2016-01-30T12:28:26.049000,23977,45042
False,2a7cec9b-aa29-49f1-815f-b545f3f09284,05fd7235-a59c-40db-b144-819841f5e242,5a1d2899-1224-461d-bbdf-cb9bab768632,2016-01-24T20:20:08.030999,2016-01-24T20:20:08.030999,47920,45042
False,2a7cec9b-aa29-49f1-815f-b545f3f09284,076c9a0e-7e26-46a1-a2fb-49ee13a219be,5a1d2899-1224-461d-bbdf-cb9bab768632,2016-01-24T19:08:59.049999,2016-01-24T19:08:59.049999,47920,45042
False,bf200c2a-ba5a-4e70-9b6b-bd7fbb9da81d,07cd083f-2d3d-440a-afe5-c3aca2bed5bf,dc186aed-ec84-4359-a31c-4c9740ad0ae3,2016-01-16T21:54:43.935329,2016-01-16T21:54:43.935329,21135,45042
False,1cf3e30a-6271-436a-a73c-5455e7882ae2,0abe5d25-9e1f-478d-9472-6823b8bf6ca6,6ce90adf-840a-4c37-ac6d-7f25ee9cf075,2016-01-16T14:54:36.977824,2016-01-16T14:54:36.977824,2670,45042
False,b5e8653d-5b3b-4456-8956-5ae8bc53bca9,0bff8def-f029-4d21-9c6b-0e56c0662837,9a1d42b1-b484-49bc-bfe7-f8b21058b809,2016-01-31T15:21:55.994338,2016-01-31T15:21:55.994338,31771,45042
False,2a7cec9b-aa29-49f1-815f-b545f3f09284,0d08cc2f-60a9-4ff5-bef0-93ab05e59a4d,5a1d2899-1224-461d-bbdf-cb9bab768632,2016-01-24T19:59:17.553999,2016-01-24T19:59:17.553999,47920,45042
False,2a7cec9b-aa29-49f1-815f-b545f3f09284,0d39059b-0244-4adf-90ee-10e028f02707,5a1d2899-1224-461d-bbdf-cb9bab768632,2016-01-24T18:16:44.611999,2016-01-24T18:16:44.611999,47920,45042
False,2cf116ef-c046-45c6-b362-564e07671d90,0db76fe5-98e8-4155-b06b-55faa202882d,990955af-ef57-4896-b061-7a9d94fd8472,2016-01-23T16:24:39.927999,2016-01-23T16:24:39.927999,25323,45042
False,56c82995-5e14-48a3-ab04-ced6e9cb222f,0e506ab2-8e99-441f-9b24-c9a91b301954,6d1e9b1e-aa3e-4ae0-8824-3532805d974e,2016-01-22T20:24:48.294549,2016-01-22T20:24:48.294549,57735,45042
False,3a40c275-e33f-46c5-9349-aa6b29c00f51,0e9e9f4e-d486-47ee-875c-421ddf5807e2,4bf26c6a-bdc6-4c74-af9a-78c3ce591784,2016-01-26T21:22:05.218937,2016-01-26T21:22:05.218937,11208,45042
False,56c82995-5e14-48a3-ab04-ced6e9cb222f,1014bf52-7907-406a-b290-bc8883c0e17e,6d1e9b1e-aa3e-4ae0-8824-3532805d974e,2016-01-22T21:49:23.484090,2016-01-22T21:49:23.484090,57735,45042
False,b5e8653d-5b3b-4456-8956-5ae8bc53bca9,10b022ae-71e4-4893-b786-34039f830696,9a1d42b1-b484-49bc-bfe7-f8b21058b809,2016-01-31T15:36:25.864759,2016-01-31T15:36:25.864759,31771,45042
False,df7eb854-11de-4091-afc7-0eccbd0f1e9d,10b603c2-b1ee-4841-b59e-b1dfe0aafe82,0eb3692f-390c-4f79-96bc-376de21eaf1e,2016-01-19T20:04:26.620000,2016-01-19T20:04:26.620000,47562,45042
False,56c82995-5e14-48a3-ab04-ced6e9cb222f,1158f9bb-aac9-46f3-805e-39512511917a,6d1e9b1e-aa3e-4ae0-8824-3532805d974e,2016-01-22T20:53:55.867390,2016-01-22T20:53:55.867390,57735,45042
False,2a7cec9b-aa29-49f1-815f-b545f3f09284,12b07d3a-94bd-48ca-8401-3b583a45e779,5a1d2899-1224-461d-bbdf-cb9bab768632,2016-01-24T20:14:33.226999,2016-01-24T20:14:33.226999,47920,45042
False,56c82995-5e14-48a3-ab04-ced6e9cb222f,13037711-aa8d-4302-b80d-01c76ba01d87,6d1e9b1e-aa3e-4ae0-8824-3532805d974e,2016-01-22T20:04:43.243365,2016-01-22T20:04:43.243365,57735,45042
False,2cf116ef-c046-45c6-b362-564e07671d90,13a1a335-2a9d-4313-b4c2-c42611bc1fe2,990955af-ef57-4896-b061-7a9d94fd8472,2016-01-23T16:52:38.761134,2016-01-23T16:52:38.761134,25323,45042
False,2cf116ef-c046-45c6-b362-564e07671d90,13e75cab-d617-4c8d-85d6-e96501cb45d5,990955af-ef57-4896-b061-7a9d94fd8472,2016-01-23T16:59:28.557571,2016-01-23T16:59:28.557571,25323,45042
False,56c82995-5e14-48a3-ab04-ced6e9cb222f,140aefe8-4c25-4744-8306-beb0efd8a4f3,6d1e9b1e-aa3e-4ae0-8824-3532805d974e,2016-01-22T20:28:13.938118,2016-01-22T20:28:13.938118,57735,45042
False,8531dcee-d53a-481f-9c1e-0b03d128ccbc,1424b150-25e0-45f4-a662-f72cec2f7bc8,ce0f1a74-c619-4797-af7c-302bc353e7df,2016-01-26T19:32:22.072366,2016-01-26T19:32:22.072366,11208,45042
False,2a7cec9b-aa29-49f1-815f-b545f3f09284,14882c07-dd73-4bab-b1c2-3e95be43ad8a,5a1d2899-1224-461d-bbdf-cb9bab768632,2016-01-24T20:11:15.532999,2016-01-24T20:11:15.532999,47920,45042
False,f7c6c85a-b149-421b-b35c-823ddc7d5984,15d00931-1472-42b6-8849-6a501438bce2,dbbe8c85-2f38-49e1-9e45-67a5e870d9ef,2016-01-30T19:46:12.699365,2016-01-30T19:46:12.699365,18965,45042
False,56c82995-5e14-48a3-ab04-ced6e9cb222f,15e13161-142b-4fcc-9731-63a444286e96,6d1e9b1e-aa3e-4ae0-8824-3532805d974e,2016-01-22T20:13:26.495974,2016-01-22T20:13:26.495974,57735,45042
False,2a7cec9b-aa29-49f1-815f-b545f3f09284,1672554a-4531-4ce7-90b7-e5601c6876dd,5a1d2899-1224-461d-bbdf-cb9bab768632,2016-01-24T18:39:53.107000,2016-01-24T18:39:53.107000,47920,45042
False,56c82995-5e14-48a3-ab04-ced6e9cb222f,16babdb8-2572-4bbf-a0ab-4b43c8c094fd,6d1e9b1e-aa3e-4ae0-8824-3532805d974e,2016-01-22T20:18:56.034224,2016-01-22T20:18:56.034224,57735,45042
False,56c82995-5e14-48a3-ab04-ced6e9cb222f,174dc59c-4f1a-4cf3-ae85-25c0398dfe7f,6d1e9b1e-aa3e-4ae0-8824-3532805d974e,2016-01-22T19:26:15.570474,2016-01-22T19:26:15.570474,57735,45042
